datetime	price	type	latitude_from	longitude_from	latitude_to	longitude_to	label_from	label_trend
28.05.2013 20:18	203.9	DoWD	-86.639913	39.82	-86.63	39.825192	694 HILTON EL CONQUIST    	1137593
04.06.2013 20:28	203.9	694 HILTON EL CONQUIST    	-111.0172801	32.335948	-86.639913	39.825192	Hotel	1137593
05.06.2013 19:30	1455.6	694 HILTON EL CONQUIST    	-111.0172801	32.335948	-86.639913	39.825192	Hotel	1137593
06.06.2013 11:00	1455.6	ARGONAUT HOTEL            	-122.4309298	37.7970026	-86.639913	39.825192	Hotel	1137593
06.06.2013 21:40	537.84	ARGONAUT HOTEL            	-122.4309298	37.7970026	-86.639913	39.825192	Hotel	1137600
07.06.2013 15:07	537.84	WYNDHAM SAN DIEGO BAYSIDE 	-117.1968425	32.7184382	-86.639913	39.825192	Hotel	1138055
07.06.2013 19:00	617.13	WYNDHAM SAN DIEGO BAYSIDE 	-117.1968425	32.7184382	-86.639913	39.825192	Hotel	1137610
09.06.2013 13:00	279	MARRIOTT 337N5 MONTEREY   	-121.8680361	36.5861624	-86.639913	39.825192	Hotel	1137740
09.06.2013 17:12	279	PAYPAL *WORLDEDUCAT       	-121.8680361	36.5861624	-86.639913	39.825192	Online	1137740
13.06.2013 10:24	79	PAYPAL *WORLDEDUCAT       	-121.8680361	36.5861624	-86.639913	39.825192	AIRFARE	1137740
18.06.2013 14:18	79	FRONTIER AI QDFY8E        	-77.0349775	38.9099362	-86.639913	39.825192	AIRFARE	1137740
24.06.2013 21:01	115	FRONTIER AI I2HBQI        	-90.0742422	29.9659198	-86.639913	39.825192	AIRFARE	1137748
25.06.2013 15:30	370.98	BLACKTIE LLC              	-90.0742422	29.9659198	-86.639913	39.825192	Plane	1138123
25.06.2013 17:44	379	THE LIAISON CAPITOL HILL  	-77.0349775	38.9099362	-86.639913	39.825192	OUT-OF-STATE LODGING	1138055
28.06.2013 17:58	752.28	HYATT REGENCY WASHINGTON  	-77.0349775	38.9099362	-86.639913	39.825192	OUT-OF-STATE LODGING	1137610
